symbol,roe,opm,pb,de_ratio,fcf,50_MA,200_MA,Price_Momentum_30,RSI,Volatility
20MICRONS.NS,15.856,10.564999,1.8711036,37.974,-56.880672,226.3770004272461,,-0.05956400914347293,40.16393442622951,0.032449785817375044
21STCENMGM.NS,23.663001,118.96601,1.257771,,24.6994368,67.62579978942871,,-0.12551887688153784,40.98360655737705,0.016627565710203216
360ONE.NS,19.312,58.855999999999995,6.877419,157.962,1182.711296,1054.0904858398437,,0.22404050270004605,49.18032786885246,0.030520464815663364
3IINFOLTD.NS,8.445,2.027,1.3495783,20.695,17.5612496,24.70540008544922,,-0.03367671906409331,41.803278688524586,0.0284250950736973
3MINDIA.NS,23.843001,17.778999000000002,17.63295,5.39,233.9136768,29319.7,,-0.03821232762917426,41.66666666666667,0.016799431948494155
3PLAND.NS,,,,,,48.3252001953125,,0.19024162343775708,47.540983606557376,0.03323781003535655
5PAISA.NS,11.934000000000001,20.343,2.1544693,36.017,,395.93,,0.028727816593031363,48.36065573770492,0.0254876248714671
63MOONS.NS,-1.63,-504.12296999999995,1.3676554,0.083,-81.2968512,835.5950012207031,,0.30442006491363727,47.540983606557376,0.03484916172417032
A2ZINFRA.NS,4.361000000000001,8.651,7.7249904,344.75,38.0968256,17.010000019073487,,0.15184763940273993,45.9016393442623,0.03569335325071964
AAATECH.NS,11.9440004,8.5930005,3.4417658,,1.38995,84.02260025024414,,-0.025216110477460862,42.97520661157025,0.02633139315603966
AADHARHFC.NS,16.851,61.612,3.1052558,256.369,,449.3859979248047,,0.034618396504867865,48.36065573770492,0.022232399975213264
AAKASH.NS,,1.7659999999999998,1.8335264,29.875,,9.122999982833862,,0.31071437248567735,46.28099173553719,0.03850375923892915
AAREYDRUGS.NS,2.9669999999999996,-3.1759999999999997,12.291242,25.17,-10.3436624,56.631200256347654,,0.32880730585220763,50.0,0.033234532308512955
AARON.NS,20.903,19.242,9.497552,74.034,1.80665,378.1889984130859,,-0.02635833958571221,46.721311475409834,0.029110815517028647
AARTECH.NS,9.0579994,17.368999,7.173145,17.9,-1.4178625,62.219200134277344,,0.1835193552172747,42.97520661157025,0.03334387107277136
AARTIDRUGS.NS,12.68,11.866999400000001,3.2502203,44.917,-14.5446496,443.82200012207034,,0.027941795990960916,46.28099173553719,0.031018031090693482
AARTIIND.NS,6.0760003,7.953,3.084249,68.635,-498.9499904,463.9270007324219,,0.015448540781122455,53.71900826446281,0.0240449048536365
AARTIPHARM.NS,14.540000000000001,21.784,4.1025033,20.761,-219.179264,845.612001953125,,0.0391850764256787,48.36065573770492,0.03143454352951247
AARTISURF.NS,6.454,7.5649999999999995,2.0311098,47.456,-26.9905632,539.1250024414062,,-0.040590072113818265,44.26229508196721,0.029494395834731745
AARVEEDEN.NS,70.056,-704.40197,9.914642,263.721,101.300128,142.49679931640625,,0.10170730110692472,52.459016393442624,0.021612280836702302
